feature_name,category,branch_assignment,inclusion_status,model_index,available_at_prediction_time,source_column,preprocessing_rule,rationale
静脉压_std,current_session_future,excluded,excluded,,end,静脉压,excluded,current-session intradialytic summary — future info
血流速_mean,current_session_future,excluded,excluded,,end,血流速,excluded,current-session intradialytic summary — future info
血流速_std,current_session_future,excluded,excluded,,end,血流速,excluded,current-session intradialytic summary — future info
透析液温度_mean,current_session_future,excluded,excluded,,end,透析液温度,excluded,current-session intradialytic summary — future info
透析液温度_std,current_session_future,excluded,excluded,,end,透析液温度,excluded,current-session intradialytic summary — future info
跨膜压_mean,current_session_future,excluded,excluded,,end,跨膜压,excluded,current-session intradialytic summary — future info
跨膜压_std,current_session_future,excluded,excluded,,end,跨膜压,excluded,current-session intradialytic summary — future info
超滤率_mean,current_session_future,excluded,excluded,,end,超滤率,excluded,current-session intradialytic summary — future info
超滤率_std,current_session_future,excluded,excluded,,end,超滤率,excluded,current-session intradialytic summary — future info
实际透析时长,current_session_future,excluded,excluded,,end,实际透析时长,excluded,known only at session end — future info
et_min,outcome,excluded,excluded,,end,et_min,excluded,outcome variable — never a predictor
events,outcome,excluded,excluded,,end,events,excluded,outcome variable — never a predictor
idh_time_min,outcome,excluded,excluded,,end,idh_time_min,excluded,outcome variable — never a predictor
idh_event,outcome,excluded,excluded,,end,idh_event,excluded,outcome variable — never a predictor
ih_time_min,outcome,excluded,excluded,,end,ih_time_min,excluded,outcome variable — never a predictor
ih_event,outcome,excluded,excluded,,end,ih_event,excluded,outcome variable — never a predictor
