claim_id,evidence_tier,locator,manuscript_paragraph_sha256,run_ids,artifacts,status
MTH-STATISTICS,registered_historical_v1,Confidence intervals for model metrics and paired differences,9415213cf1f70fef06c1ca904c5e0b190a566de95eaae55c288964b595436f3c,binary_20260719_044949_c6c955a30fc2;binary_20260719_052452_6913955efcfe;binary_20260719_053438_0be143d15776;binary_20260719_054003_190b64e7fcd5;binary_20260719_054454_fc09992c00bc,"[{""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}, {""path"": ""experiments/evidence_registry/run_registry.csv"", ""sha256"": ""91a2ff828f0b6478302b7d4317fd66d47681205dec475207822806333c81eb01""}]",mapped
MTH-EXPLORATORY-SAMPLE,exploratory_limit,Existing subgroup outputs used session-level rather than patient-cluster resampling,dc75afbd8487a75f23411c5188ab7eab05e57115ad6e72e0afcaec88bd217f8a,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/shap_analysis_full.json"", ""sha256"": ""1610315a675d3e63c29e3647c19cfa29ad39f3d25b1fdecaf6c7b7a4c8f293b2""}, {""path"": ""conf/subgroup_protocol.yaml"", ""sha256"": ""16f15c8c2eab6c06ad7bddbcc477c68c30cbcd542d6cbcb380e874e6efc4569d""}]",mapped
MTH-REPRODUCIBILITY,registered_dual_contract_audit,Each frozen evaluation JSON records the split seed,2c1e8830e5281e864af2d457b7b37e96aa033b806c7667c1228598cc7cdd5662,,"[{""path"": ""experiments/evidence_registry/run_registry.csv"", ""sha256"": ""91a2ff828f0b6478302b7d4317fd66d47681205dec475207822806333c81eb01""}, {""path"": ""experiments/evidence_registry/split_audit.json"", ""sha256"": ""05bcc65f34e610c49d7ec613652f50759c4e8ed533b0cd1b6ad17aa3373eb6aa""}, {""path"": ""data/confirmatory_v2/confirmatory_data_manifest.json"", ""sha256"": ""8ced6217afccd3c08bff80912f161e905dbe17cb2ba8beffc446c665e3f1b854""}]",mapped
RES-COHORT,registered_historical_v1,IDH prevalence was 14.5% at the source center,dfd87059d74d37048ce12277485a0c3130ba0ae93c7618b44104031c8629647a,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/audit/binary_data_preflight.json"", ""sha256"": ""17e04feb534548e5dfacf6dd1342d0aa0c9eeaf841ae585d6f9dfe904d43180d""}, {""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}]",mapped
RES-IDH,registered_historical_v1,"In the seed-2024 run, the source IDH MLP achieved",7222ab324327ca2a2201badc3d058aea5444894354ad831a032872641e1878a3,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}]",mapped
RES-IH,registered_historical_v1,"For IH, source-model AUC was 0.8516",293a350e044a1a831bb123eeb436015c68a96b927d48746f9c8665e2edff5383,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}]",mapped
RES-LOCAL,registered_historical_v1,The target-local logistic model achieved AUCs,bbba7993da89a3b9e530b97158f85b6faec0b1b352492961a44f88e3b34b4f9c,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/evaluation.json"", ""sha256"": ""1f810397e7291c3c24509952514c2d61a7f0e40f4addfffe337cc2eec363e9d1""}]",mapped
RES-MULTISEED,registered_historical_v1,"Across five seeds, source-model AUC varied",9a73c929afd21f8bb7f6e88b862f568819b7494d463da39032cc58a1d70e252a,binary_20260719_044949_c6c955a30fc2;binary_20260719_052452_6913955efcfe;binary_20260719_053438_0be143d15776;binary_20260719_054003_190b64e7fcd5;binary_20260719_054454_fc09992c00bc,"[{""path"": ""experiments/evidence_registry/run_registry.csv"", ""sha256"": ""91a2ff828f0b6478302b7d4317fd66d47681205dec475207822806333c81eb01""}]",mapped
RES-CALIBRATION,registered_historical_v1_cluster_bootstrap,"From the registered seed-2024 held-out predictions, IDH calibration",218d43d604d98e1ebd215418e39fca873e74e3c6137ae5a7508cd752bf7c01a2,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""clinical_utility_report/calibration_summary.csv"", ""sha256"": ""78f16775258c430f5cf1cef9b4d0285ed3654b9a5dcdbf364d991fabb624b999""}, {""path"": ""clinical_utility_report/provenance.json"", ""sha256"": ""6dd83ff772ce224d3754a673cacb0d7b5fa474d444ee2dd67e4b5a49d563fdf2""}]",mapped
RES-ALERTS,registered_historical_v1_cluster_bootstrap,At thresholds selected previously on validation patients by Youden's index,8db7c13810698e0560e399166ea8a3cea9a978b4d0dda9b1693b61329a71e8bd,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""clinical_utility_report/alert_analysis.csv"", ""sha256"": ""a5811882c8ede7bce7b8c602b368cfd1c8538fb91bab7cf4aa5fab861a256f08""}, {""path"": ""clinical_utility_report/provenance.json"", ""sha256"": ""6dd83ff772ce224d3754a673cacb0d7b5fa474d444ee2dd67e4b5a49d563fdf2""}]",mapped
EXP-LATENT-IDH,exploratory,Latent analyses from the seed-2024 main run were metric dependent,6e1368aafcec042144dd98de04d3a7e3e7dd7c2ea32ff89adf264455b4afd235,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/evidence_registry/exploratory_latent_metrics.csv"", ""sha256"": ""ccc24a5e7521ac4aad2ee983d243ebf2a04b970a06a0f9d212a6a9a8717de2de""}, {""path"": ""experiments/evidence_registry/exploratory_provenance.json"", ""sha256"": ""6e9e1a24b3fcb56c5809e0471f563be8391c46b05e374afbc1489f68a4369640""}]",mapped
EXP-LATENT-IH,exploratory,"For IH, latent discrepancies changed little",a3638c0e44d7cfc6afcb690ea42e3c7ede5ef04d34134a99ff349ad52cfceb93,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/evidence_registry/exploratory_latent_metrics.csv"", ""sha256"": ""ccc24a5e7521ac4aad2ee983d243ebf2a04b970a06a0f9d212a6a9a8717de2de""}]",mapped
EXP-SHAP-IDH,exploratory,"In the seed-2024 SHAP analysis, physiology/history variables accounted for 83.5%",850cc43e589d72405d57f79ee499bb33bdc2bb5bcbdc4ec7b084755133fc96ee,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/evidence_registry/exploratory_shap_summary.csv"", ""sha256"": ""e0848c36ffd44afd5cdac764a64eb5a5ebaebd7a507128f5244d49409965d68c""}, {""path"": ""experiments/evidence_registry/exploratory_provenance.json"", ""sha256"": ""6e9e1a24b3fcb56c5809e0471f563be8391c46b05e374afbc1489f68a4369640""}]",mapped
EXP-SHAP-IH,exploratory,"For IH, physiology/history variables already accounted for 96.8%",6a33da0ce3491b60fd21c0fa491584df7898ade7a6ea0fa3d63b9db11e6e4294,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/evidence_registry/exploratory_shap_summary.csv"", ""sha256"": ""e0848c36ffd44afd5cdac764a64eb5a5ebaebd7a507128f5244d49409965d68c""}]",mapped
IMP-TARGET-FRACTION,registered_historical_v1,"At the same time, use of 60% of target patients for updating",b1699d340b30ba89cd7173f1b4e4ca1f57e62717ac42bfef8a1827f005a969f2,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/config.yaml"", ""sha256"": ""07120fb605ee8ee0a04ab7b5717a45f6cd7441e78faf8b8f592547427f0ffdfa""}, {""path"": ""experiments/final_results/main_mechanism_aware/split_manifest.json"", ""sha256"": ""6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568""}]",mapped
LIM-TARGET-SIZE,registered_historical_v1,The target test set contains 172 patients,9fdc8c07e56c702d6ed404822121c4887e5a485fe113fc95a608445c6e58bcfc,binary_20260719_044949_c6c955a30fc2,"[{""path"": ""experiments/final_results/main_mechanism_aware/split_manifest.json"", ""sha256"": ""6552a9085aed3f4b82ce3964768503d74ae28c038864b8d71c38af102513e568""}]",mapped
LIM-ABLATION,registered_historical_v1_limit,The current historical ablation set is confounded by encoder architecture,d0bc043ba67a1b15f86bcd550274f8877da70beb365a018821c67e343e73c191,,"[{""path"": ""experiments/evidence_registry/run_registry.csv"", ""sha256"": ""91a2ff828f0b6478302b7d4317fd66d47681205dec475207822806333c81eb01""}, {""path"": ""experiments/confirmatory_results/architecture_matched_ablation.csv"", ""sha256"": ""2f56a18e34b524ec44cca536df7fc42b5196455801910d96c5716742d2b2d9e6""}]",mapped
STATUS-SUBMISSION-FIGURES,project_status,"Figures 1, 3, 4, and 5 are staged under `figures/submission_staging/`; Figure 2 is deliberately absent",7f51d4b3a9e43b0f9f1582d1b6b11002eed2009b761aed6009ca126db6a68d8c,,"[{""path"": ""figures/submission_staging/figure_status.csv"", ""sha256"": ""b339d4acb21073d24d101f65eae059d7f7d520c2506e0de3b356eba35774ef4b""}, {""path"": ""figures/submission_staging/provenance.json"", ""sha256"": ""d754d9a33954e45ca5df21472dc8fc74bf2412f6b301f1decf578774cc076587""}, {""path"": ""experiments/evidence_registry/submission_supplement_provenance.json"", ""sha256"": ""df91a4a4a094476e23561070a4e4faf85744b218b79d52fb0eaa1ca2207307da""}]",mapped
