partition_id,family,partition_index,master_seed,aligned_feature_count,aligned_features,preserved_features,feature_allowlist_sha256,clinical_partition_sha256,generation_status
A_unrestricted_random-11,A_unrestricted_random,11,20260715,5,"[""history_HBP_rate"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""年龄"", ""透前体重-干体重""]","[""性别"", ""透析龄年"", ""透前收缩压"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-12,A_unrestricted_random,12,20260715,11,"[""history_HBP_rate"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_4_rate"", ""历史平均透中低血压_计算"", ""历史平均透前体重"", ""历史平均透前舒张压"", ""透前体温"", ""透前收缩压""]","[""年龄"", ""性别"", ""透析龄年"", ""透前舒张压"", ""透前呼吸频率"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前收缩压"", ""history_LBP_times_3_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-13,A_unrestricted_random,13,20260715,9,"[""history_HBP_rate"", ""history_LBP_times_2_rate"", ""历史平均超滤量MAX"", ""历史平均透前收缩压"", ""性别"", ""超负荷"", ""透前体温"", ""透前体重-干体重"", ""透前收缩压""]","[""年龄"", ""透析龄年"", ""透前舒张压"", ""透前呼吸频率"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-14,A_unrestricted_random,14,20260715,20,"[""history_HBP_rate"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透中低血压_计算"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""性别"", ""超负荷"", ""透前体温"", ""透前体重-干体重"", ""透前收缩压"", ""透前舒张压"", ""透析龄年""]","[""年龄"", ""透前呼吸频率""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-15,A_unrestricted_random,15,20260715,21,"[""history_HBP_rate"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透中低血压_计算"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""年龄"", ""性别"", ""超负荷"", ""透前体温"", ""透前体重-干体重"", ""透前呼吸频率"", ""透前收缩压"", ""透前舒张压"", ""透析龄年""]","[""history_LBP_times_3_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-16,A_unrestricted_random,16,20260715,20,"[""history_HBP_rate"", ""history_IDH_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透中低血压_计算"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""年龄"", ""性别"", ""超负荷"", ""透前体温"", ""透前体重-干体重"", ""透前呼吸频率"", ""透前收缩压"", ""透前舒张压""]","[""透析龄年"", ""history_LBP_times_1_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-17,A_unrestricted_random,17,20260715,3,"[""历史平均超滤率_mean"", ""历史平均透中低血压_计算"", ""透前收缩压""]","[""年龄"", ""性别"", ""透析龄年"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-18,A_unrestricted_random,18,20260715,3,"[""年龄"", ""超负荷"", ""透前舒张压""]","[""性别"", ""透析龄年"", ""透前收缩压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
A_unrestricted_random-19,A_unrestricted_random,19,20260715,19,"[""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate"", ""历史平均超滤率_mean"", ""历史平均超滤量MAX"", ""历史平均透中低血压_计算"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""年龄"", ""性别"", ""透前体温"", ""透前体重-干体重"", ""透前呼吸频率"", ""透前舒张压"", ""透析龄年""]","[""透前收缩压"", ""超负荷"", ""history_IDH_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-01,B_variance_matched,1,20260715,4,"[""透前收缩压"", ""透前舒张压"", ""透前呼吸频率"", ""透前体重-干体重""]","[""年龄"", ""性别"", ""透析龄年"", ""透前体温"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-02,B_variance_matched,2,20260715,4,"[""透前舒张压"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透析龄年"", ""透前收缩压"", ""透前呼吸频率"", ""透前体温"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-03,B_variance_matched,3,20260715,4,"[""透前收缩压"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透析龄年"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-04,B_variance_matched,4,20260715,4,"[""透前舒张压"", ""透前呼吸频率"", ""透前体重-干体重"", ""历史平均超滤量MAX""]","[""年龄"", ""性别"", ""透析龄年"", ""透前收缩压"", ""透前体温"", ""超负荷"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-05,B_variance_matched,5,20260715,4,"[""透析龄年"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透前收缩压"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-06,B_variance_matched,6,20260715,4,"[""透析龄年"", ""透前收缩压"", ""超负荷"", ""历史平均超滤量MAX""]","[""年龄"", ""性别"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-07,B_variance_matched,7,20260715,4,"[""透析龄年"", ""透前呼吸频率"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透前收缩压"", ""透前舒张压"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-08,B_variance_matched,8,20260715,4,"[""透前收缩压"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX""]","[""年龄"", ""性别"", ""透析龄年"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-09,B_variance_matched,9,20260715,4,"[""透析龄年"", ""透前舒张压"", ""透前呼吸频率"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透前收缩压"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-10,B_variance_matched,10,20260715,4,"[""透析龄年"", ""透前舒张压"", ""超负荷"", ""历史平均超滤量MAX""]","[""年龄"", ""性别"", ""透前收缩压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-11,B_variance_matched,11,20260715,4,"[""透析龄年"", ""透前收缩压"", ""超负荷"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透前舒张压"", ""透前呼吸频率"", ""透前体温"", ""透前体重-干体重"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-12,B_variance_matched,12,20260715,4,"[""透析龄年"", ""透前收缩压"", ""透前呼吸频率"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透前舒张压"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-13,B_variance_matched,13,20260715,4,"[""透析龄年"", ""透前舒张压"", ""透前呼吸频率"", ""历史平均超滤量MAX""]","[""年龄"", ""性别"", ""透前收缩压"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-14,B_variance_matched,14,20260715,4,"[""透前收缩压"", ""透前呼吸频率"", ""透前体重-干体重"", ""历史平均超滤率_mean""]","[""年龄"", ""性别"", ""透析龄年"", ""透前舒张压"", ""透前体温"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
B_variance_matched-15,B_variance_matched,15,20260715,4,"[""透析龄年"", ""透前收缩压"", ""透前舒张压"", ""透前呼吸频率""]","[""年龄"", ""性别"", ""透前体温"", ""透前体重-干体重"", ""超负荷"", ""历史平均超滤量MAX"", ""历史平均超滤率_mean"", ""历史平均透前体重"", ""历史平均透前收缩压"", ""历史平均透前舒张压"", ""历史平均透中低血压_计算"", ""history_IDH_rate"", ""history_HBP_rate"", ""history_LBP_times_0_rate"", ""history_LBP_times_1_rate"", ""history_LBP_times_2_rate"", ""history_LBP_times_3_rate"", ""history_LBP_times_4_rate""]",0e8139b4713c4141c6a04a1c681303d7fef72f290892c5bbadf44767ad410c08,97f6c3580674f637dfb1a6f85c3e5af07cb347d436bf7142e951c4bb51a27891,locked_before_v3_model_results
